"area","tipo_vivienda","condicion_vivienda","conexion_agua","conexion_electricidad","elmininacion_basura","numero_habitaciones","total_personas","parroquia","canton"
"Área urbana","Departamento en casa o edificio","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Temporal"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Mediagua","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Temporal"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",6,8,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas ausentes"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",8,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Temporal"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Hotel, Pensión, Residencial u Hostal"," "," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Temporal"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Hotel, Pensión, Residencial u Hostal"," "," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas ausentes"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",5,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",5,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Hotel, Pensión, Residencial u Hostal"," "," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Hotel, Pensión, Residencial u Hostal"," "," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas ausentes"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Covacha","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",5,7,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",5,6,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",5,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,7,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Temporal"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Hotel, Pensión, Residencial u Hostal"," "," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Mediagua","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Temporal"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,8,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",5,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",7,8,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,6,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De carro repartidor","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,7,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",1,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Cuarto(s) en casa de inquilinato","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,1,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Desocupada"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Mediagua","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",2,2,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Hospital, Clínica, etc."," "," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,5,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,6,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Departamento en casa o edificio","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,3,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",3,7,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","Ocupada con personas presentes","De red pública","Red de Empresa Eléctrica de servicio público","Por carro recolector",4,4,"Puerto Baquerizo Moreno","San Cristóbal"
"Área urbana","Casa/Villa","En construcción"," "," "," ",NA,NA,"Puerto Baquerizo Moreno","San Cristóbal"
